"Cost","Gamma","Degree","Accuracy","AUC"
64,0.03125,2,0.519230769230769,0.4529053420806
16,0.0625,2,0.519230769230769,0.4529053420806
4,0.125,2,0.519230769230769,0.4529053420806
1,0.25,2,0.519230769230769,0.4529053420806
0.25,0.5,2,0.519230769230769,0.4529053420806
0.0625,1,2,0.519230769230769,0.4529053420806
0.015625,2,2,0.519230769230769,0.4529053420806
0.00390625,4,2,0.519230769230769,0.4529053420806
0.0009765625,8,2,0.519230769230769,0.4529053420806
32,0.0625,2,0.526923076923077,0.463058419243986
8,0.125,2,0.526923076923077,0.463058419243986
2,0.25,2,0.526923076923077,0.463058419243986
0.5,0.5,2,0.526923076923077,0.463058419243986
0.125,1,2,0.526923076923077,0.463058419243986
0.03125,2,2,0.526923076923077,0.463058419243986
0.0078125,4,2,0.526923076923077,0.463058419243986
0.001953125,8,2,0.526923076923077,0.463058419243986
32,0.125,2,0.534615384615385,0.468213058419244
64,0.125,2,0.534615384615385,0.468213058419244
8,0.25,2,0.534615384615385,0.468213058419244
16,0.25,2,0.534615384615385,0.468213058419244
32,0.25,2,0.534615384615385,0.468213058419244
64,0.25,2,0.534615384615385,0.468213058419244
2,0.5,2,0.534615384615385,0.468213058419244
4,0.5,2,0.534615384615385,0.468213058419244
8,0.5,2,0.534615384615385,0.468213058419244
16,0.5,2,0.534615384615385,0.468213058419244
32,0.5,2,0.534615384615385,0.468213058419244
64,0.5,2,0.534615384615385,0.468213058419244
0.5,1,2,0.534615384615385,0.468213058419244
1,1,2,0.534615384615385,0.468213058419244
2,1,2,0.534615384615385,0.468213058419244
4,1,2,0.534615384615385,0.468213058419244
8,1,2,0.534615384615385,0.468213058419244
16,1,2,0.534615384615385,0.468213058419244
32,1,2,0.534615384615385,0.468213058419244
64,1,2,0.534615384615385,0.468213058419244
0.125,2,2,0.534615384615385,0.468213058419244
0.25,2,2,0.534615384615385,0.468213058419244
0.5,2,2,0.534615384615385,0.468213058419244
1,2,2,0.534615384615385,0.468213058419244
2,2,2,0.534615384615385,0.468213058419244
4,2,2,0.534615384615385,0.468213058419244
8,2,2,0.534615384615385,0.468213058419244
16,2,2,0.534615384615385,0.468213058419244
32,2,2,0.534615384615385,0.468213058419244
64,2,2,0.534615384615385,0.468213058419244
0.03125,4,2,0.534615384615385,0.468213058419244
0.0625,4,2,0.534615384615385,0.468213058419244
0.125,4,2,0.534615384615385,0.468213058419244
0.25,4,2,0.534615384615385,0.468213058419244
0.5,4,2,0.534615384615385,0.468213058419244
1,4,2,0.534615384615385,0.468213058419244
2,4,2,0.534615384615385,0.468213058419244
4,4,2,0.534615384615385,0.468213058419244
8,4,2,0.534615384615385,0.468213058419244
16,4,2,0.534615384615385,0.468213058419244
32,4,2,0.534615384615385,0.468213058419244
64,4,2,0.534615384615385,0.468213058419244
0.0078125,8,2,0.534615384615385,0.468213058419244
0.015625,8,2,0.534615384615385,0.468213058419244
0.03125,8,2,0.534615384615385,0.468213058419244
0.0625,8,2,0.534615384615385,0.468213058419244
0.125,8,2,0.534615384615385,0.468213058419244
0.25,8,2,0.534615384615385,0.468213058419244
0.5,8,2,0.534615384615385,0.468213058419244
1,8,2,0.534615384615385,0.468213058419244
2,8,2,0.534615384615385,0.468213058419244
4,8,2,0.534615384615385,0.468213058419244
8,8,2,0.534615384615385,0.468213058419244
16,8,2,0.534615384615385,0.468213058419244
32,8,2,0.534615384615385,0.468213058419244
64,8,2,0.534615384615385,0.468213058419244
64,0.0625,2,0.538461538461538,0.475788815995002
16,0.125,2,0.538461538461538,0.475788815995002
4,0.25,2,0.538461538461538,0.475788815995002
1,0.5,2,0.538461538461538,0.475788815995002
0.25,1,2,0.538461538461538,0.475788815995002
0.0625,2,2,0.538461538461538,0.475788815995002
0.015625,4,2,0.538461538461538,0.475788815995002
0.00390625,8,2,0.538461538461538,0.475788815995002
32,0.03125,2,0.553846153846154,0.47610121836926
8,0.0625,2,0.553846153846154,0.47610121836926
2,0.125,2,0.553846153846154,0.47610121836926
0.5,0.25,2,0.553846153846154,0.47610121836926
0.125,0.5,2,0.553846153846154,0.47610121836926
0.03125,1,2,0.553846153846154,0.47610121836926
0.0078125,2,2,0.553846153846154,0.47610121836926
0.001953125,4,2,0.553846153846154,0.47610121836926
0.00048828125,8,2,0.553846153846154,0.47610121836926
32,0.015625,2,0.611538461538462,0.489768822243049
8,0.03125,2,0.611538461538462,0.489768822243049
2,0.0625,2,0.611538461538462,0.489768822243049
0.5,0.125,2,0.611538461538462,0.489768822243049
0.125,0.25,2,0.611538461538462,0.489768822243049
0.03125,0.5,2,0.611538461538462,0.489768822243049
0.0078125,1,2,0.611538461538462,0.489768822243049
0.001953125,2,2,0.611538461538462,0.489768822243049
0.00048828125,4,2,0.611538461538462,0.489768822243049
0.0001220703125,8,2,0.611538461538462,0.489768822243049
32,0.03125,4,0.657692307692308,0.490706029365823
2,0.0625,4,0.657692307692308,0.490706029365823
0.125,0.125,4,0.657692307692308,0.490706029365823
0.0078125,0.25,4,0.657692307692308,0.490706029365823
0.00048828125,0.5,4,0.657692307692308,0.490706029365823
3.0517578125e-05,1,4,0.657692307692308,0.490706029365823
64,0.000244140625,1,0.726923076923077,0.492111840049984
32,0.00048828125,1,0.726923076923077,0.492111840049984
16,0.0009765625,1,0.726923076923077,0.492111840049984
8,0.001953125,1,0.726923076923077,0.492111840049984
4,0.00390625,1,0.726923076923077,0.492111840049984
2,0.0078125,1,0.726923076923077,0.492111840049984
1,0.015625,1,0.726923076923077,0.492111840049984
0.5,0.03125,1,0.726923076923077,0.492111840049984
0.25,0.0625,1,0.726923076923077,0.492111840049984
0.125,0.125,1,0.726923076923077,0.492111840049984
0.0625,0.25,1,0.726923076923077,0.492111840049984
0.03125,0.5,1,0.726923076923077,0.492111840049984
0.015625,1,1,0.726923076923077,0.492111840049984
0.0078125,2,1,0.726923076923077,0.492111840049984
0.00390625,4,1,0.726923076923077,0.492111840049984
0.001953125,8,1,0.726923076923077,0.492111840049984
16,0.03125,5,0.726923076923077,0.497110278038113
0.5,0.0625,5,0.726923076923077,0.497110278038113
0.015625,0.125,5,0.726923076923077,0.497110278038113
0.00048828125,0.25,5,0.726923076923077,0.497110278038113
16,0.03125,4,0.692307692307692,0.498906591690097
1,0.0625,4,0.692307692307692,0.498906591690097
0.0625,0.125,4,0.692307692307692,0.498906591690097
0.00390625,0.25,4,0.692307692307692,0.498906591690097
0.000244140625,0.5,4,0.692307692307692,0.498906591690097
64,0.015625,2,0.603846153846154,0.499609497032177
16,0.03125,2,0.603846153846154,0.499609497032177
4,0.0625,2,0.603846153846154,0.499609497032177
1,0.125,2,0.603846153846154,0.499609497032177
0.25,0.25,2,0.603846153846154,0.499609497032177
0.0625,0.5,2,0.603846153846154,0.499609497032177
0.015625,1,2,0.603846153846154,0.499609497032177
0.00390625,2,2,0.603846153846154,0.499609497032177
0.0009765625,4,2,0.603846153846154,0.499609497032177
0.000244140625,8,2,0.603846153846154,0.499609497032177
64,0.015625,4,0.738461538461539,0.499843798812871
4,0.03125,4,0.738461538461539,0.499843798812871
0.25,0.0625,4,0.738461538461539,0.499843798812871
0.015625,0.125,4,0.738461538461539,0.499843798812871
0.0009765625,0.25,4,0.738461538461539,0.499843798812871
6.103515625e-05,0.5,4,0.738461538461539,0.499843798812871
3.0517578125e-05,3.0517578125e-05,1,0.746153846153846,0.5
6.103515625e-05,3.0517578125e-05,1,0.746153846153846,0.5
0.0001220703125,3.0517578125e-05,1,0.746153846153846,0.5
0.000244140625,3.0517578125e-05,1,0.746153846153846,0.5
0.00048828125,3.0517578125e-05,1,0.746153846153846,0.5
0.0009765625,3.0517578125e-05,1,0.746153846153846,0.5
0.001953125,3.0517578125e-05,1,0.746153846153846,0.5
0.00390625,3.0517578125e-05,1,0.746153846153846,0.5
0.0078125,3.0517578125e-05,1,0.746153846153846,0.5
0.015625,3.0517578125e-05,1,0.746153846153846,0.5
0.03125,3.0517578125e-05,1,0.746153846153846,0.5
0.0625,3.0517578125e-05,1,0.746153846153846,0.5
0.125,3.0517578125e-05,1,0.746153846153846,0.5
0.25,3.0517578125e-05,1,0.746153846153846,0.5
0.5,3.0517578125e-05,1,0.746153846153846,0.5
1,3.0517578125e-05,1,0.746153846153846,0.5
2,3.0517578125e-05,1,0.746153846153846,0.5
4,3.0517578125e-05,1,0.746153846153846,0.5
8,3.0517578125e-05,1,0.746153846153846,0.5
16,3.0517578125e-05,1,0.746153846153846,0.5
32,3.0517578125e-05,1,0.746153846153846,0.5
64,3.0517578125e-05,1,0.746153846153846,0.5
3.0517578125e-05,6.103515625e-05,1,0.746153846153846,0.5
6.103515625e-05,6.103515625e-05,1,0.746153846153846,0.5
0.0001220703125,6.103515625e-05,1,0.746153846153846,0.5
0.000244140625,6.103515625e-05,1,0.746153846153846,0.5
0.00048828125,6.103515625e-05,1,0.746153846153846,0.5
0.0009765625,6.103515625e-05,1,0.746153846153846,0.5
0.001953125,6.103515625e-05,1,0.746153846153846,0.5
0.00390625,6.103515625e-05,1,0.746153846153846,0.5
0.0078125,6.103515625e-05,1,0.746153846153846,0.5
0.015625,6.103515625e-05,1,0.746153846153846,0.5
0.03125,6.103515625e-05,1,0.746153846153846,0.5
0.0625,6.103515625e-05,1,0.746153846153846,0.5
0.125,6.103515625e-05,1,0.746153846153846,0.5
0.25,6.103515625e-05,1,0.746153846153846,0.5
0.5,6.103515625e-05,1,0.746153846153846,0.5
1,6.103515625e-05,1,0.746153846153846,0.5
2,6.103515625e-05,1,0.746153846153846,0.5
4,6.103515625e-05,1,0.746153846153846,0.5
8,6.103515625e-05,1,0.746153846153846,0.5
16,6.103515625e-05,1,0.746153846153846,0.5
32,6.103515625e-05,1,0.746153846153846,0.5
64,6.103515625e-05,1,0.746153846153846,0.5
3.0517578125e-05,0.0001220703125,1,0.746153846153846,0.5
6.103515625e-05,0.0001220703125,1,0.746153846153846,0.5
0.0001220703125,0.0001220703125,1,0.746153846153846,0.5
0.000244140625,0.0001220703125,1,0.746153846153846,0.5
0.00048828125,0.0001220703125,1,0.746153846153846,0.5
0.0009765625,0.0001220703125,1,0.746153846153846,0.5
0.001953125,0.0001220703125,1,0.746153846153846,0.5
0.00390625,0.0001220703125,1,0.746153846153846,0.5
0.0078125,0.0001220703125,1,0.746153846153846,0.5
0.015625,0.0001220703125,1,0.746153846153846,0.5
0.03125,0.0001220703125,1,0.746153846153846,0.5
0.0625,0.0001220703125,1,0.746153846153846,0.5
0.125,0.0001220703125,1,0.746153846153846,0.5
0.25,0.0001220703125,1,0.746153846153846,0.5
0.5,0.0001220703125,1,0.746153846153846,0.5
1,0.0001220703125,1,0.746153846153846,0.5
2,0.0001220703125,1,0.746153846153846,0.5
4,0.0001220703125,1,0.746153846153846,0.5
8,0.0001220703125,1,0.746153846153846,0.5
16,0.0001220703125,1,0.746153846153846,0.5
32,0.0001220703125,1,0.746153846153846,0.5
3.0517578125e-05,0.000244140625,1,0.746153846153846,0.5
6.103515625e-05,0.000244140625,1,0.746153846153846,0.5
0.0001220703125,0.000244140625,1,0.746153846153846,0.5
0.000244140625,0.000244140625,1,0.746153846153846,0.5
0.00048828125,0.000244140625,1,0.746153846153846,0.5
0.0009765625,0.000244140625,1,0.746153846153846,0.5
0.001953125,0.000244140625,1,0.746153846153846,0.5
0.00390625,0.000244140625,1,0.746153846153846,0.5
0.0078125,0.000244140625,1,0.746153846153846,0.5
0.015625,0.000244140625,1,0.746153846153846,0.5
0.03125,0.000244140625,1,0.746153846153846,0.5
0.0625,0.000244140625,1,0.746153846153846,0.5
0.125,0.000244140625,1,0.746153846153846,0.5
0.25,0.000244140625,1,0.746153846153846,0.5
0.5,0.000244140625,1,0.746153846153846,0.5
1,0.000244140625,1,0.746153846153846,0.5
2,0.000244140625,1,0.746153846153846,0.5
4,0.000244140625,1,0.746153846153846,0.5
8,0.000244140625,1,0.746153846153846,0.5
16,0.000244140625,1,0.746153846153846,0.5
3.0517578125e-05,0.00048828125,1,0.746153846153846,0.5
6.103515625e-05,0.00048828125,1,0.746153846153846,0.5
0.0001220703125,0.00048828125,1,0.746153846153846,0.5
0.000244140625,0.00048828125,1,0.746153846153846,0.5
0.00048828125,0.00048828125,1,0.746153846153846,0.5
0.0009765625,0.00048828125,1,0.746153846153846,0.5
0.001953125,0.00048828125,1,0.746153846153846,0.5
0.00390625,0.00048828125,1,0.746153846153846,0.5
0.0078125,0.00048828125,1,0.746153846153846,0.5
0.015625,0.00048828125,1,0.746153846153846,0.5
0.03125,0.00048828125,1,0.746153846153846,0.5
0.0625,0.00048828125,1,0.746153846153846,0.5
0.125,0.00048828125,1,0.746153846153846,0.5
0.25,0.00048828125,1,0.746153846153846,0.5
0.5,0.00048828125,1,0.746153846153846,0.5
1,0.00048828125,1,0.746153846153846,0.5
2,0.00048828125,1,0.746153846153846,0.5
4,0.00048828125,1,0.746153846153846,0.5
8,0.00048828125,1,0.746153846153846,0.5
3.0517578125e-05,0.0009765625,1,0.746153846153846,0.5
6.103515625e-05,0.0009765625,1,0.746153846153846,0.5
0.0001220703125,0.0009765625,1,0.746153846153846,0.5
0.000244140625,0.0009765625,1,0.746153846153846,0.5
0.00048828125,0.0009765625,1,0.746153846153846,0.5
0.0009765625,0.0009765625,1,0.746153846153846,0.5
0.001953125,0.0009765625,1,0.746153846153846,0.5
0.00390625,0.0009765625,1,0.746153846153846,0.5
0.0078125,0.0009765625,1,0.746153846153846,0.5
0.015625,0.0009765625,1,0.746153846153846,0.5
0.03125,0.0009765625,1,0.746153846153846,0.5
0.0625,0.0009765625,1,0.746153846153846,0.5
0.125,0.0009765625,1,0.746153846153846,0.5
0.25,0.0009765625,1,0.746153846153846,0.5
0.5,0.0009765625,1,0.746153846153846,0.5
1,0.0009765625,1,0.746153846153846,0.5
2,0.0009765625,1,0.746153846153846,0.5
4,0.0009765625,1,0.746153846153846,0.5
3.0517578125e-05,0.001953125,1,0.746153846153846,0.5
6.103515625e-05,0.001953125,1,0.746153846153846,0.5
0.0001220703125,0.001953125,1,0.746153846153846,0.5
0.000244140625,0.001953125,1,0.746153846153846,0.5
0.00048828125,0.001953125,1,0.746153846153846,0.5
0.0009765625,0.001953125,1,0.746153846153846,0.5
0.001953125,0.001953125,1,0.746153846153846,0.5
0.00390625,0.001953125,1,0.746153846153846,0.5
0.0078125,0.001953125,1,0.746153846153846,0.5
0.015625,0.001953125,1,0.746153846153846,0.5
0.03125,0.001953125,1,0.746153846153846,0.5
0.0625,0.001953125,1,0.746153846153846,0.5
0.125,0.001953125,1,0.746153846153846,0.5
0.25,0.001953125,1,0.746153846153846,0.5
0.5,0.001953125,1,0.746153846153846,0.5
1,0.001953125,1,0.746153846153846,0.5
2,0.001953125,1,0.746153846153846,0.5
3.0517578125e-05,0.00390625,1,0.746153846153846,0.5
6.103515625e-05,0.00390625,1,0.746153846153846,0.5
0.0001220703125,0.00390625,1,0.746153846153846,0.5
0.000244140625,0.00390625,1,0.746153846153846,0.5
0.00048828125,0.00390625,1,0.746153846153846,0.5
0.0009765625,0.00390625,1,0.746153846153846,0.5
0.001953125,0.00390625,1,0.746153846153846,0.5
0.00390625,0.00390625,1,0.746153846153846,0.5
0.0078125,0.00390625,1,0.746153846153846,0.5
0.015625,0.00390625,1,0.746153846153846,0.5
0.03125,0.00390625,1,0.746153846153846,0.5
0.0625,0.00390625,1,0.746153846153846,0.5
0.125,0.00390625,1,0.746153846153846,0.5
0.25,0.00390625,1,0.746153846153846,0.5
0.5,0.00390625,1,0.746153846153846,0.5
1,0.00390625,1,0.746153846153846,0.5
3.0517578125e-05,0.0078125,1,0.746153846153846,0.5
6.103515625e-05,0.0078125,1,0.746153846153846,0.5
0.0001220703125,0.0078125,1,0.746153846153846,0.5
0.000244140625,0.0078125,1,0.746153846153846,0.5
0.00048828125,0.0078125,1,0.746153846153846,0.5
0.0009765625,0.0078125,1,0.746153846153846,0.5
0.001953125,0.0078125,1,0.746153846153846,0.5
0.00390625,0.0078125,1,0.746153846153846,0.5
0.0078125,0.0078125,1,0.746153846153846,0.5
0.015625,0.0078125,1,0.746153846153846,0.5
0.03125,0.0078125,1,0.746153846153846,0.5
0.0625,0.0078125,1,0.746153846153846,0.5
0.125,0.0078125,1,0.746153846153846,0.5
0.25,0.0078125,1,0.746153846153846,0.5
0.5,0.0078125,1,0.746153846153846,0.5
3.0517578125e-05,0.015625,1,0.746153846153846,0.5
6.103515625e-05,0.015625,1,0.746153846153846,0.5
0.0001220703125,0.015625,1,0.746153846153846,0.5
0.000244140625,0.015625,1,0.746153846153846,0.5
0.00048828125,0.015625,1,0.746153846153846,0.5
0.0009765625,0.015625,1,0.746153846153846,0.5
0.001953125,0.015625,1,0.746153846153846,0.5
0.00390625,0.015625,1,0.746153846153846,0.5
0.0078125,0.015625,1,0.746153846153846,0.5
0.015625,0.015625,1,0.746153846153846,0.5
0.03125,0.015625,1,0.746153846153846,0.5
0.0625,0.015625,1,0.746153846153846,0.5
0.125,0.015625,1,0.746153846153846,0.5
0.25,0.015625,1,0.746153846153846,0.5
3.0517578125e-05,0.03125,1,0.746153846153846,0.5
6.103515625e-05,0.03125,1,0.746153846153846,0.5
0.0001220703125,0.03125,1,0.746153846153846,0.5
0.000244140625,0.03125,1,0.746153846153846,0.5
0.00048828125,0.03125,1,0.746153846153846,0.5
0.0009765625,0.03125,1,0.746153846153846,0.5
0.001953125,0.03125,1,0.746153846153846,0.5
0.00390625,0.03125,1,0.746153846153846,0.5
0.0078125,0.03125,1,0.746153846153846,0.5
0.015625,0.03125,1,0.746153846153846,0.5
0.03125,0.03125,1,0.746153846153846,0.5
0.0625,0.03125,1,0.746153846153846,0.5
0.125,0.03125,1,0.746153846153846,0.5
3.0517578125e-05,0.0625,1,0.746153846153846,0.5
6.103515625e-05,0.0625,1,0.746153846153846,0.5
0.0001220703125,0.0625,1,0.746153846153846,0.5
0.000244140625,0.0625,1,0.746153846153846,0.5
0.00048828125,0.0625,1,0.746153846153846,0.5
0.0009765625,0.0625,1,0.746153846153846,0.5
0.001953125,0.0625,1,0.746153846153846,0.5
0.00390625,0.0625,1,0.746153846153846,0.5
0.0078125,0.0625,1,0.746153846153846,0.5
0.015625,0.0625,1,0.746153846153846,0.5
0.03125,0.0625,1,0.746153846153846,0.5
0.0625,0.0625,1,0.746153846153846,0.5
3.0517578125e-05,0.125,1,0.746153846153846,0.5
6.103515625e-05,0.125,1,0.746153846153846,0.5
0.0001220703125,0.125,1,0.746153846153846,0.5
0.000244140625,0.125,1,0.746153846153846,0.5
0.00048828125,0.125,1,0.746153846153846,0.5
0.0009765625,0.125,1,0.746153846153846,0.5
0.001953125,0.125,1,0.746153846153846,0.5
0.00390625,0.125,1,0.746153846153846,0.5
0.0078125,0.125,1,0.746153846153846,0.5
0.015625,0.125,1,0.746153846153846,0.5
0.03125,0.125,1,0.746153846153846,0.5
3.0517578125e-05,0.25,1,0.746153846153846,0.5
6.103515625e-05,0.25,1,0.746153846153846,0.5
0.0001220703125,0.25,1,0.746153846153846,0.5
0.000244140625,0.25,1,0.746153846153846,0.5
0.00048828125,0.25,1,0.746153846153846,0.5
0.0009765625,0.25,1,0.746153846153846,0.5
0.001953125,0.25,1,0.746153846153846,0.5
0.00390625,0.25,1,0.746153846153846,0.5
0.0078125,0.25,1,0.746153846153846,0.5
0.015625,0.25,1,0.746153846153846,0.5
3.0517578125e-05,0.5,1,0.746153846153846,0.5
6.103515625e-05,0.5,1,0.746153846153846,0.5
0.0001220703125,0.5,1,0.746153846153846,0.5
0.000244140625,0.5,1,0.746153846153846,0.5
0.00048828125,0.5,1,0.746153846153846,0.5
0.0009765625,0.5,1,0.746153846153846,0.5
0.001953125,0.5,1,0.746153846153846,0.5
0.00390625,0.5,1,0.746153846153846,0.5
0.0078125,0.5,1,0.746153846153846,0.5
3.0517578125e-05,1,1,0.746153846153846,0.5
6.103515625e-05,1,1,0.746153846153846,0.5
0.0001220703125,1,1,0.746153846153846,0.5
0.000244140625,1,1,0.746153846153846,0.5
0.00048828125,1,1,0.746153846153846,0.5
0.0009765625,1,1,0.746153846153846,0.5
0.001953125,1,1,0.746153846153846,0.5
0.00390625,1,1,0.746153846153846,0.5
3.0517578125e-05,2,1,0.746153846153846,0.5
6.103515625e-05,2,1,0.746153846153846,0.5
0.0001220703125,2,1,0.746153846153846,0.5
0.000244140625,2,1,0.746153846153846,0.5
0.00048828125,2,1,0.746153846153846,0.5
0.0009765625,2,1,0.746153846153846,0.5
0.001953125,2,1,0.746153846153846,0.5
3.0517578125e-05,4,1,0.746153846153846,0.5
6.103515625e-05,4,1,0.746153846153846,0.5
0.0001220703125,4,1,0.746153846153846,0.5
0.000244140625,4,1,0.746153846153846,0.5
0.00048828125,4,1,0.746153846153846,0.5
0.0009765625,4,1,0.746153846153846,0.5
3.0517578125e-05,8,1,0.746153846153846,0.5
6.103515625e-05,8,1,0.746153846153846,0.5
0.0001220703125,8,1,0.746153846153846,0.5
0.000244140625,8,1,0.746153846153846,0.5
0.00048828125,8,1,0.746153846153846,0.5
3.0517578125e-05,3.0517578125e-05,2,0.746153846153846,0.5
6.103515625e-05,3.0517578125e-05,2,0.746153846153846,0.5
0.0001220703125,3.0517578125e-05,2,0.746153846153846,0.5
